antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0149,"Beck's draught beer, 0.4 L",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",1327,5044,5898,0.04259075007221491,0.26308485329103887,1.3897820912154792,213.50415015025953,2.3625930549003504e-48,1.0875903050195284e-47,0.0827799850323255,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0149,"Beck's draught beer, 0.4 L",1327,5898,5044,0.04259075007221491,0.22499152255001695,1.3897820912154792,213.50415015025953,2.3625930549003504e-48,1.0875903050195284e-47,0.0827799850323255,True
P0599,Product P0599,P0072,"French fries, 180 g",1216,2260,5580,0.03902814776775684,0.5380530973451327,3.0043226440828494,2135.6553940859403,0.0,0.0,0.2618109287614036,True
P0072,"French fries, 180 g",P0599,Product P0599,1216,5580,2260,0.03902814776775684,0.21792114695340503,3.0043226440828494,2135.6553940859403,0.0,0.0,0.2618109287614036,True
P0076,"Grilled pork neck, 150 g",P0072,"French fries, 180 g",1205,2088,5580,0.038675097088936676,0.5771072796934866,3.2223891601093118,2411.464385937679,0.0,0.0,0.27820351255967585,True
P0072,"French fries, 180 g",P0076,"Grilled pork neck, 150 g",1205,5580,2088,0.038675097088936676,0.21594982078853048,3.2223891601093118,2411.464385937679,0.0,0.0,0.27820351255967585,True
P0095,Product P0095,P0072,"French fries, 180 g",1175,3929,5580,0.03771223160124531,0.29905828455077627,1.6698492780911358,440.1094602868384,1.0247630263856854e-97,1.1180164617867828e-96,0.1188509164340873,True
P0072,"French fries, 180 g",P0095,Product P0095,1175,5580,3929,0.03771223160124531,0.21057347670250895,1.6698492780911358,440.1094602868384,1.0247630263856854e-97,1.1180164617867828e-96,0.1188509164340873,True
P0165,"Honey lemonade, 500 ml",P0072,"French fries, 180 g",1161,3686,5580,0.037262894373656,0.3149755832881172,1.7587265678329513,525.0391343402869,3.390170546245261e-116,4.566266748090839e-115,0.12981295032258464,True
P0072,"French fries, 180 g",P0165,"Honey lemonade, 500 ml",1161,5580,3686,0.037262894373656,0.20806451612903226,1.7587265678329513,525.0391343402869,3.390170546245261e-116,4.566266748090839e-115,0.12981295032258464,True
P0149,"Beck's draught beer, 0.4 L",P0072,"French fries, 180 g",1114,5044,5580,0.03575440510960619,0.22085646312450435,1.2331944124677745,71.39944225062767,2.917546119362785e-17,5.305071360374664e-17,0.047870679538224784,True
P0072,"French fries, 180 g",P0149,"Beck's draught beer, 0.4 L",1114,5580,5044,0.03575440510960619,0.1996415770609319,1.2331944124677745,71.39944225062767,2.917546119362785e-17,5.305071360374664e-17,0.047870679538224784,True
P0165,"Honey lemonade, 500 ml",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",1094,3686,5898,0.03511249478447861,0.29679869777536627,1.5678801333650536,314.8027103889848,1.963414691199337e-70,1.4376412269117292e-69,0.10051743882949778,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0165,"Honey lemonade, 500 ml",1094,5898,3686,0.03511249478447861,0.1854866056290268,1.5678801333650536,314.8027103889848,1.963414691199337e-70,1.4376412269117292e-69,0.10051743882949778,True
P0095,Product P0095,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",1053,3929,5898,0.03379657861796707,0.2680071264952914,1.4157846795886393,181.48782759645007,2.2938996480831719e-41,8.512396313124968e-41,0.07632133070745536,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0095,Product P0095,1053,5898,3929,0.03379657861796707,0.1785350966429298,1.4157846795886393,181.48782759645007,2.2938996480831719e-41,8.512396313124968e-41,0.07632133070745536,True
P0613,Product P0613,P0072,"French fries, 180 g",989,1844,5580,0.03174246557755882,0.5363340563991323,2.9947240493239726,1701.4003820416924,0.0,0.0,0.23368209948652155,True
P0072,"French fries, 180 g",P0613,Product P0613,989,5580,1844,0.03174246557755882,0.17724014336917562,2.9947240493239726,1701.4003820416924,0.0,0.0,0.23368209948652155,True
P0567,"Fried Romanian cheese doughnuts, 180 g",P0072,"French fries, 180 g",947,2807,5580,0.030394453894790896,0.337370858567866,1.8837748817919358,525.6696306270608,2.472016664028445e-116,3.3712127255687916e-115,0.12989087025374635,True
P0070,"Caru' cu Flori potatoes, 180 g",P0072,"French fries, 180 g",947,4003,5580,0.030394453894790896,0.23657257057207096,1.320948312063443,103.21960627570967,2.9998263309301324e-24,6.762005221166889e-24,0.05755768021036878,True
