min_pair_count,min_support,min_confidence,min_lift,fdr_bh,directional_rules,jaccard_vs_baseline,baseline_rule_retention
50,0.0016047758128189492,0.05,1.0,0.05,3055,0.3838350785340314,0.9991482112436116
50,0.0016047758128189492,0.05,1.05,0.05,3055,0.3838350785340314,0.9991482112436116
50,0.0016047758128189492,0.05,1.1,0.05,3053,0.38363338788870704,0.9982964224872232
50,0.0016047758128189492,0.05,1.2,0.05,3023,0.3783251231527094,0.9812606473594548
50,0.0016047758128189492,0.1,1.0,0.05,1876,0.6249334043686734,0.9991482112436116
50,0.0016047758128189492,0.1,1.05,0.05,1876,0.6249334043686734,0.9991482112436116
50,0.0016047758128189492,0.1,1.1,0.05,1875,0.6244006393180608,0.9982964224872232
50,0.0016047758128189492,0.1,1.2,0.05,1855,0.6137453383058071,0.9812606473594548
50,0.0016047758128189492,0.15,1.0,0.05,1157,0.5048418334409296,0.666098807495741
50,0.0016047758128189492,0.15,1.05,0.05,1157,0.5048418334409296,0.666098807495741
50,0.0016047758128189492,0.15,1.1,0.05,1156,0.5041962556488057,0.6652470187393527
50,0.0016047758128189492,0.15,1.2,0.05,1142,0.49515816655907036,0.6533219761499148
50,0.0016047758128189492,0.2,1.0,0.05,699,0.39360119047619047,0.4505962521294719
50,0.0016047758128189492,0.2,1.05,0.05,699,0.39360119047619047,0.4505962521294719
50,0.0016047758128189492,0.2,1.1,0.05,698,0.39285714285714285,0.4497444633730835
50,0.0016047758128189492,0.2,1.2,0.05,695,0.390625,0.44718909710391824
100,0.0032095516256378984,0.05,1.0,0.05,1653,0.7102238354506957,1.0
100,0.0032095516256378984,0.05,1.05,0.05,1653,0.7102238354506957,1.0
100,0.0032095516256378984,0.05,1.1,0.05,1651,0.7100484261501211,0.9991482112436116
100,0.0032095516256378984,0.05,1.2,0.05,1620,0.7015834348355664,0.9812606473594548
100,0.0032095516256378984,0.1,1.0,0.05,1174,1.0,1.0
100,0.0032095516256378984,0.1,1.05,0.05,1174,1.0,1.0
100,0.0032095516256378984,0.1,1.1,0.05,1173,0.9991482112436116,0.9991482112436116
100,0.0032095516256378984,0.1,1.2,0.05,1152,0.9812606473594548,0.9812606473594548
100,0.0032095516256378984,0.15,1.0,0.05,783,0.6669505962521295,0.6669505962521295
100,0.0032095516256378984,0.15,1.05,0.05,783,0.6669505962521295,0.6669505962521295
100,0.0032095516256378984,0.15,1.1,0.05,782,0.666098807495741,0.666098807495741
100,0.0032095516256378984,0.15,1.2,0.05,767,0.6533219761499148,0.6533219761499148
100,0.0032095516256378984,0.2,1.0,0.05,530,0.4514480408858603,0.4514480408858603
100,0.0032095516256378984,0.2,1.05,0.05,530,0.4514480408858603,0.4514480408858603
100,0.0032095516256378984,0.2,1.1,0.05,529,0.4505962521294719,0.4505962521294719
100,0.0032095516256378984,0.2,1.2,0.05,525,0.44718909710391824,0.44718909710391824
150,0.004814327438456847,0.05,1.0,0.05,1034,0.5376044568245125,0.6575809199318569
150,0.004814327438456847,0.05,1.05,0.05,1034,0.5376044568245125,0.6575809199318569
150,0.004814327438456847,0.05,1.1,0.05,1032,0.5372822299651568,0.6567291311754685
150,0.004814327438456847,0.05,1.2,0.05,1009,0.5276417074877536,0.6422487223168655
150,0.004814327438456847,0.1,1.0,0.05,772,0.6575809199318569,0.6575809199318569
150,0.004814327438456847,0.1,1.05,0.05,772,0.6575809199318569,0.6575809199318569
150,0.004814327438456847,0.1,1.1,0.05,771,0.6567291311754685,0.6567291311754685
150,0.004814327438456847,0.1,1.2,0.05,754,0.6422487223168655,0.6422487223168655
150,0.004814327438456847,0.15,1.0,0.05,547,0.46592844974446335,0.46592844974446335
150,0.004814327438456847,0.15,1.05,0.05,547,0.46592844974446335,0.46592844974446335
150,0.004814327438456847,0.15,1.1,0.05,546,0.46507666098807493,0.46507666098807493
150,0.004814327438456847,0.15,1.2,0.05,534,0.454855195911414,0.454855195911414
150,0.004814327438456847,0.2,1.0,0.05,381,0.32453151618398635,0.32453151618398635
150,0.004814327438456847,0.2,1.05,0.05,381,0.32453151618398635,0.32453151618398635
