term,coef,std_error_clustered,p_value_clustered,IRR,IRR_ci_low,IRR_ci_high,ci_coef_low,ci_coef_high
Intercept,0.460499006465845,0.060135796852105565,1.8936313047441262e-14,1.5848646454112945,1.4086545239113988,1.7831170820366842,0.34263501045410094,0.5783630024775891
C(weekday)[T.Tuesday],0.02566398767381135,0.02459996218549173,0.29683107006012954,1.0259961431965385,0.9777013220856602,1.0766765494482413,-0.022551052230799676,0.07387902757842238
C(weekday)[T.Wednesday],0.06445654232920234,0.025370158478485255,0.01106485013011934,1.0665792261885887,1.0148409953852986,1.1209551554479193,0.01473194542929774,0.11418113922910694
C(weekday)[T.Thursday],0.09561486251964195,0.02699427840274748,0.00039704254853839,1.100335202049391,1.0436321170558274,1.1601191043110717,0.04270704906160947,0.14852267597767443
C(weekday)[T.Friday],0.11171420196470298,0.026467605165961184,2.434476992626356e-05,1.1181932375430212,1.0616652320654716,1.177731057514593,0.05983864908239278,0.16358975484701319
C(weekday)[T.Saturday],0.26040551767729136,0.025505401552084566,1.791999387914553e-24,1.2974561213931075,1.2341911907057268,1.3639640273058993,0.2104158492239736,0.3103951861306091
C(weekday)[T.Sunday],0.3322289463991765,0.026363340516792667,2.0604278297272142e-36,1.3940719797391041,1.323867991811402,1.4679988463461293,0.2805577484740973,0.3839001443242557
C(service_interval)[T.Lunch (12-15)],0.6767435183116018,0.04029385631834798,2.645952067600918e-63,1.9674602903525216,1.8180582048818725,2.1291397512576,0.5977690111294081,0.7557180254937956
C(service_interval)[T.Afternoon (16-18)],0.8416088483710618,0.041208374707874966,1.0392035608647349e-92,2.320096659460929,2.1400772319572576,2.515258995732015,0.7608419180821956,0.9223757786599279
C(service_interval)[T.Dinner (19-21)],0.9504725478611614,0.04019612575473703,1.3014951519023166e-123,2.5869318196268183,2.390947160888921,2.798981235917254,0.871689589063834,1.029255506658489
C(service_interval)[T.Late evening (22-23)],0.9819975062983196,0.04165309557537198,6.856987144816166e-123,2.669783829227423,2.4604861174112065,2.8968851497945773,0.9003589391259859,1.0636360734706534
C(month_no)[T.2],-0.040244338390720336,0.05119836527598464,0.43183975856814605,0.9605547100847688,0.8688443441653921,1.0619455110251563,-0.14059129039897633,0.06010261361753566
C(month_no)[T.3],-0.008252033990539346,0.050026411614707875,0.8689805459814948,0.9917819205796703,0.8991530637147901,1.0939532073937368,-0.10630199903114304,0.08979793105006434
C(month_no)[T.4],0.042368979175749714,0.043477970515718535,0.3298117987923812,1.0432793560974232,0.9580586542489012,1.1360805625333685,-0.04284627715595297,0.1275842355074524
C(month_no)[T.5],0.153309258275572,0.04240739232993868,0.00030016901639129395,1.165685421068189,1.0727144407946687,1.266714093905833,0.07019229663063206,0.23642621992051197
C(month_no)[T.6],0.19427641787071537,0.041713766563788654,3.202755458210235e-06,1.214431927252515,1.1190934498198097,1.3178925371851022,0.11251893774617848,0.27603389799525224
C(month_no)[T.7],0.16474520683487345,0.04404474560638468,0.00018372364394001262,1.1790926556853338,1.081575843200551,1.2854017583982824,0.07841909173813069,0.2510713219316162
C(month_no)[T.8],0.2887025790129908,0.043592375086275906,3.525126333059788e-11,1.3346947032736098,1.2253948196740052,1.4537436606925942,0.20326309384332888,0.3741420641826527
C(month_no)[T.9],0.12086049594290121,0.043640646441468076,0.005615138673085533,1.1284674755949156,1.0359577909236166,1.229238154906115,0.03532640065557771,0.20639459123022472
C(month_no)[T.10],-0.012497881110983482,0.05016817583629258,0.803268188309224,0.9875798930638529,0.8950947513146307,1.0896210080011772,-0.11082569892018954,0.08582993669822259
C(month_no)[T.11],-0.029706398630050854,0.0526666512451682,0.5727230249856704,0.9707304995177715,0.8755253802367753,1.0762882766907154,-0.1329311382569121,0.07351834099681041
C(month_no)[T.12],-0.02163273701909194,0.052726154104844096,0.6815970766969934,0.9785995724576037,0.8825197594551493,1.0851395823765395,-0.1249741001078951,0.08170862606971123
C(year)[T.2025],-0.08418856407104473,0.013847878245080176,1.2053680401475009e-09,0.9192579007392391,0.8946435513418174,0.9445494653195676,-0.1113299066936976,-0.05704722144839186
C(year)[T.2026],-0.24371150071690575,0.022864224951571043,1.5816173307221194e-26,0.7837137024923536,0.7493684018151094,0.8196331283605628,-0.28852455815640704,-0.19889844327740444
alpha,0.4039074091001883,0.005374887172864185,0.0,,,,0.39337282382040817,0.4144419943799684
