model,aic,bic_deviance,estimated_alpha_if_applicable,mean_distinct_products,variance_distinct_products,variance_to_mean_ratio
Poisson GLM clustered by day,182640.55239232347,-234378.71867302532,,4.4739223930416925,17.34651630325929,3.877250157543722
NB GLM alpha=1.0 clustered by day,160519.06673508583,-306176.55571247346,,4.4739223930416925,17.34651630325929,3.877250157543722
NB2 estimated alpha clustered by day,154216.33133846495,,0.4039074091001883,4.4739223930416925,17.34651630325929,3.877250157543722
