scenario,term,coef,std_error_clustered,p_value_clustered,multiplicative_effect,effect_ci_low,effect_ci_high
full_sample,Intercept,4.449023955725335,0.22081322806809991,2.7818945009363934e-90,85.5434090872696,55.49195089977625,131.8691219108223
full_sample,C(weekday)[T.Tuesday],-0.12298553620222953,0.05932878909726463,0.038177054106291124,0.884276452464107,0.7872040203704382,0.9933191703143774
full_sample,C(weekday)[T.Wednesday],-0.11670302723466196,0.05888172458940697,0.04748028780798253,0.8898494149696272,0.7928596280871844,0.9987038730072866
full_sample,C(weekday)[T.Thursday],-0.03694644532310238,0.059412401321752434,0.5340311682225805,0.9637277460951021,0.8577928757866317,1.0827452579876278
full_sample,C(weekday)[T.Friday],0.2892742385946507,0.06121755421471453,2.2972177400167037e-06,1.3354579124164523,1.1844636275193516,1.505700803637865
full_sample,C(weekday)[T.Saturday],0.3826944601240605,0.059470688016029505,1.234653649698521e-10,1.4662299698986583,1.3049099746816668,1.647493211287217
full_sample,C(weekday)[T.Sunday],0.34493600694178833,0.06643813879950676,2.0822893662788446e-07,1.4118995650056019,1.2395143475456363,1.6082592231467598
full_sample,C(service_interval)[T.Lunch (12-15)],0.08770479302121242,0.19816529391964674,0.6580666431348567,1.0916658070909717,0.7403057177187625,1.6097866136221242
full_sample,C(service_interval)[T.Afternoon (16-18)],0.2899859648874559,0.1964085633628508,0.1398251206506907,1.3364087312468977,0.9094022662569446,1.9639144999099063
full_sample,C(service_interval)[T.Dinner (19-21)],0.46217620730229175,0.19691718933379268,0.018922272172705378,1.5875250120812001,1.0792060244995052,2.335268342439252
full_sample,C(service_interval)[T.Late evening (22-23)],0.9101974338246603,0.20020417032935478,5.458526938515359e-06,2.4848130711070486,1.6783387592628383,3.6788139249410667
full_sample,C(month_no)[T.2],0.12904708498615516,0.12842799739764038,0.3149832892116047,1.1377436935506238,0.8845580258661103,1.4633983010292078
full_sample,C(month_no)[T.3],0.21720141137099258,0.12113468389786636,0.07296378595030341,1.242594349567113,0.9799848110683561,1.575576172341733
full_sample,C(month_no)[T.4],0.036487823127450136,0.11101093875756583,0.7423924808935086,1.0371616745553316,0.8343605810116691,1.289255944788426
full_sample,C(month_no)[T.5],0.051908078558926,0.08777641677359237,0.5542745288280007,1.0532789191472605,0.8868046683320618,1.251004331773105
full_sample,C(month_no)[T.6],0.05035377126242861,0.08501227755203337,0.5536418461825812,1.0516430716721492,0.8902372925206182,1.242312762549676
full_sample,C(month_no)[T.7],-0.02869593069288546,0.09194480786004873,0.7549648888888386,0.9717118873101083,0.811472774115169,1.163592941204165
full_sample,C(month_no)[T.8],0.06105848770007043,0.08938898880011525,0.4945657841066915,1.062961082518117,0.8921324142392898,1.266500628061505
full_sample,C(month_no)[T.9],-0.028518093910068206,0.08925277235654383,0.7493318193079688,0.9718847087925255,0.8159107432692791,1.1576755116619348
full_sample,C(month_no)[T.10],0.0020255995977601668,0.09844609502050942,0.9835841064744247,1.0020276525105178,0.8261943843033371,1.2152823058006876
full_sample,C(month_no)[T.11],0.024889232210239295,0.10357694149918288,0.8100999913651193,1.0252015549245415,0.836843801697204,1.2559550851521941
full_sample,C(month_no)[T.12],0.520620467365128,0.1593790390725104,0.001088644886680105,1.6830716168030344,1.23151274894062,2.300203607087925
full_sample,C(year)[T.2025],-0.048283764244166444,0.028225546430125696,0.08714748867224925,0.9528633601593848,0.9015815151944522,1.0070621101170292
full_sample,C(year)[T.2026],-0.2188516314412506,0.04424955496864045,7.581258552975516e-07,0.803440914681451,0.7366965815590785,0.8762322502135841
exclude_top_1pct,Intercept,3.786563150759869,0.11750266653160024,7.796617191237443e-228,44.10455877795426,35.03200794425713,55.526708834196455
exclude_top_1pct,C(weekday)[T.Tuesday],0.05162798254432483,0.037380510146471126,0.16723374141992864,1.0529839412327415,0.9785959183272361,1.1330265738174377
exclude_top_1pct,C(weekday)[T.Wednesday],0.09310826636563573,0.03560405769665595,0.00892006375071118,1.0975805598938229,1.023599764851682,1.1769083257179083
exclude_top_1pct,C(weekday)[T.Thursday],0.15927632356228735,0.03918166181115146,4.8017388027690225e-05,1.1726619360392345,1.0859787754736427,1.2662641731976103
exclude_top_1pct,C(weekday)[T.Friday],0.24141875376321345,0.037793220371238036,1.68195505622448e-10,1.2730540198673892,1.182162517249924,1.370933787742392
exclude_top_1pct,C(weekday)[T.Saturday],0.3471405538856212,0.03650923800281419,1.938155960927538e-21,1.4150155973344076,1.3172994402048688,1.5199802562644784
exclude_top_1pct,C(weekday)[T.Sunday],0.36787875306859696,0.034357954036447605,9.412939247337873e-27,1.4446668669300424,1.350585768014133,1.5453016060388582
exclude_top_1pct,C(service_interval)[T.Lunch (12-15)],0.4478242360319932,0.10007532251762243,7.645718292366569e-06,1.5649036178104285,1.2861846601469136,1.9040215677556296
exclude_top_1pct,C(service_interval)[T.Afternoon (16-18)],0.6766420419561832,0.10003498736938936,1.34183167947478e-11,1.9672606497823957,1.6170072586052533,2.3933810090131655
exclude_top_1pct,C(service_interval)[T.Dinner (19-21)],0.8549282264632039,0.10072416434488073,2.1055564604339806e-17,2.351205620175614,1.9299855039355112,2.864357197021783
exclude_top_1pct,C(service_interval)[T.Late evening (22-23)],1.0780769737379983,0.10117484451312533,1.6421215006570283e-26,2.9390222962238526,2.4103643589245873,3.583629182749287
exclude_top_1pct,C(month_no)[T.2],0.050439102775719724,0.07764913502418418,0.5159654056320779,1.0517328137957582,0.9032549711873655,1.2246175741060958
exclude_top_1pct,C(month_no)[T.3],0.09424740541802032,0.06713719278422055,0.1603774637143306,1.0988315691742194,0.9633494327731299,1.2533674452250692
exclude_top_1pct,C(month_no)[T.4],0.08785743824079031,0.06373082953252286,0.1680272331917192,1.091832457376662,0.9636253583287395,1.2370970779024246
exclude_top_1pct,C(month_no)[T.5],0.17939090110771969,0.056466959566658495,0.0014884910783895208,1.1964883613917254,1.071133779012299,1.3365131666988708
exclude_top_1pct,C(month_no)[T.6],0.23552100494634612,0.05579965678954511,2.434017486022879e-05,1.2655679641652073,1.1344587753463076,1.411829417452688
exclude_top_1pct,C(month_no)[T.7],0.13486587214118512,0.05798689023788575,0.020029256866854108,1.1443832803779044,1.021440264859686,1.2821240139660963
exclude_top_1pct,C(month_no)[T.8],0.23575830498093694,0.0569263535316114,3.450997130621616e-05,1.2658683191225921,1.1322249762308694,1.4152863918376504
exclude_top_1pct,C(month_no)[T.9],0.11198585028073059,0.05759329493176983,0.05184420525645797,1.1184970341140386,0.999105466797053,1.2521557101799163
exclude_top_1pct,C(month_no)[T.10],-0.05165717515203204,0.06661169597829582,0.4380459953181758,0.9496543761604896,0.8334232186600506,1.082095403594253
exclude_top_1pct,C(month_no)[T.11],-0.009836757283366162,0.0689086021063437,0.8864870040244031,0.9902114653658654,0.8651130078789516,1.1333996104693995
exclude_top_1pct,C(month_no)[T.12],0.3094595206991194,0.10323596610454597,0.0027211985461622497,1.3626884101842396,1.1130686440895943,1.6682885760107544
exclude_top_1pct,C(year)[T.2025],-0.08009870802110773,0.019573125160235197,4.271524888232228e-05,0.9230252318957712,0.888286166439858,0.9591228715525943
exclude_top_1pct,C(year)[T.2026],-0.24669394809428458,0.03152784080523247,5.0911889237817266e-15,0.7813797997168491,0.7345572218246823,0.831186969871307
exclude_top_1pct_and_values_below_1_ron,Intercept,3.813173544680036,0.11714204119815508,1.980451848512337e-232,45.293953405836746,36.00217534412253,56.983840435215036
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Tuesday],0.05321487369770081,0.03713246724738435,0.151826684489958,1.0546562386597922,0.9806266971991185,1.1342744236119502
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Wednesday],0.0947088907172893,0.03551218209141894,0.007654513198189169,1.0993387808161226,1.025424109937588,1.1785813726184342
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Thursday],0.1593729264402307,0.038974001920283705,4.328425509719274e-05,1.1727752240289953,1.0865258216624507,1.2658711819584847
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Friday],0.24173811616428525,0.037702118683181955,1.4381964359235816e-10,1.273460650383661,1.182751284319677,1.3711268375484251
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Saturday],0.3463939234340344,0.03639487180973516,1.7712668467036515e-21,1.4139594979070245,1.3166113615346542,1.5185053996428408
exclude_top_1pct_and_values_below_1_ron,C(weekday)[T.Sunday],0.3693030159011937,0.034452941328792695,8.284431282886844e-27,1.4467259182211374,1.3522589518785042,1.5477922180106545
exclude_top_1pct_and_values_below_1_ron,C(service_interval)[T.Lunch (12-15)],0.4198711958545242,0.09963776753780318,2.5091357246941316e-05,1.5217655332855309,1.2518028096331923,1.849948187106539
exclude_top_1pct_and_values_below_1_ron,C(service_interval)[T.Afternoon (16-18)],0.64771487249312,0.09954730637715498,7.686884316866134e-11,1.9111685714605564,1.5724041238922717,2.3229176603131494
exclude_top_1pct_and_values_below_1_ron,C(service_interval)[T.Dinner (19-21)],0.8281995225405677,0.10026950107429225,1.459960458990236e-16,2.289193386482728,1.8807580462963298,2.786326700043046
exclude_top_1pct_and_values_below_1_ron,C(service_interval)[T.Late evening (22-23)],1.0591320451592774,0.10073813839240124,7.469227739354811e-26,2.8838668364986684,2.3671552601929418,3.513368164105536
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.2],0.054528163087455846,0.07712946709060514,0.47958557450063066,1.0560422174042496,0.9078802298280086,1.2283835778110908
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.3],0.09650824915719688,0.06711854128700702,0.15046877754473792,1.101318666057123,0.9655651760115774,1.2561583975262356
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.4],0.09713090053806646,0.06345023878329374,0.12581386185419785,1.1020046171773652,0.9731380926151884,1.2479361207787514
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.5],0.18273425608298022,0.056333471738819904,0.00117948439430343,1.2004953413533124,1.0750021701811898,1.3406382838911812
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.6],0.24033965221348497,0.05562796604878332,1.556884238908439e-05,1.2716810062454609,1.1403221865123627,1.4181716367297352
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.7],0.13986070592691777,0.0577443123412644,0.015432422143378276,1.1501135836933951,1.0270431374524691,1.2879315455795846
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.8],0.23838888637246441,0.05671862029573823,2.633898082575392e-05,1.2692026724881595,1.1356696004714257,1.418436685443019
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.9],0.11395553584505345,0.057438651848409336,0.04726117636076206,1.1207022926958967,1.0013787965687935,1.2542442811425711
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.10],-0.04109473162111036,0.06620769439403373,0.5348008491343534,0.9597382080849858,0.8429400588015333,1.092719960856728
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.11],-0.0031410457783293934,0.06912294489442752,0.9637554550626982,0.9968638821450002,0.8705591886103979,1.1414934360883864
exclude_top_1pct_and_values_below_1_ron,C(month_no)[T.12],0.3111370071808519,0.102124160204763,0.0023140371179526604,1.3649762199196054,1.11736957717131,1.6674519505558039
exclude_top_1pct_and_values_below_1_ron,C(year)[T.2025],-0.0796713162678574,0.0194771559258371,4.304432627673588e-05,0.9234198095815437,0.8888330641998144,0.9593524128124941
exclude_top_1pct_and_values_below_1_ron,C(year)[T.2026],-0.24968433745886606,0.031437817383725954,1.9868216316226272e-15,0.7790466601106701,0.7324931224487068,0.8285589038716052
