antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,phi,chi_square,p_value,q_value_bh,temporal_presence_ratio,monthly_support_cv,temporal_stability,pair_basket_value_mean,pair_revenue,pair_baskets,pair_basket_value_uplift_pct,pair_revenue_share,context_entropy,context_normalized_entropy,AR_score,DVS_score,CI_score,OC_score,IF_score,TS_score,CDS_baseline,CDS_empirical_4_component,CDS_baseline_reconstructed
P0072,"French fries, 180 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",3191,5580,5898,0.102416792374105,0.179092980710595,0.189299354880123,0.571863799283154,3.02094954124538,0.0685146066620314,1.89355780651692,0.456133611495164,6482.45910343536,0.0,0.0,1.0,0.439122331211679,0.694867961056544,257.91637104356,823011.14,3191,0.763039226611579,0.180564822419281,1.36172305737887,0.846086106744813,0.593654453963753,0.629261088538989,0.621589710449336,0.5,0.5,0.871506917433946,60.605174233381,65.15024890483004,60.60517423338102
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0072,"French fries, 180 g",3191,5898,5580,0.102416792374105,0.189299354880123,0.179092980710595,0.541030857917938,3.02094954124538,0.0685146066620314,1.78858869588804,0.456133611495164,6482.45910343536,0.0,0.0,1.0,0.439122331211679,0.694867961056544,257.91637104356,823011.14,3191,0.763039226611579,0.180564822419281,1.36172305737887,0.846086106744813,0.582580851872278,0.629261088538989,0.621589710449336,0.5,0.5,0.871506917433946,60.3837021915515,64.83386027364503,60.38370219155152
P0627,"Chicken breast strips, 200 g",P0072,"French fries, 180 g",694,1085,5580,0.022274288281927,0.0348236351381712,0.179092980710595,0.63963133640553,3.57150422014106,0.0160376196658537,2.27796449086702,0.228146206455585,1621.74339569095,0.0,0.0,1.0,0.357675077365025,0.736553256866731,356.590244956772,247473.63,694,1.43754433711244,0.0542945652648213,1.30925376072625,0.94442695393249,0.33729925685599,0.872211010904014,0.343474573059784,0.5,0.5,0.928656273672228,55.346259553118,57.637513647311486,55.34625955311804
P0612,"Sour cream, 50 g",P0018,"Hot pepper, 1 pc.",1664,2147,2461,0.0534069390506146,0.0689090734024457,0.0789870655069487,0.775034932463903,9.81217529084837,0.0479640135557525,4.09402643966166,0.702053825778267,15356.6488961505,0.0,0.0,1.0,0.374522250005325,0.727525509315056,241.119284855769,401222.49,1664,0.648219365731755,0.0880263512076785,1.28538985964402,0.798657624325503,0.678731357970996,0.512089572824142,0.345650217051134,0.5,0.5,0.916279488265469,54.8922178395801,56.98888262797161,54.89221783958013
P0009,"Borsec sparkling mineral water, 750 ml",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",817,3139,5898,0.0262220367814616,0.100747825528774,0.189299354880123,0.26027397260274,1.3749332255652,0.0071505384032895,1.0959471684028,0.0606422530259955,114.57933322191,9.72948481658598e-27,2.39073602137282e-26,1.0,0.419491345861886,0.704477701054824,430.323696450428,351574.46,817,1.94156417412706,0.0771338039689897,1.34217947869149,0.968177838945576,0.135303031221384,0.930887296852797,0.467897763138914,0.5,0.5,0.884681597950061,54.5285778037625,56.469396862517875,54.52857780376251
P0567,"Fried Romanian cheese doughnuts, 180 g",P0072,"French fries, 180 g",947,2807,5580,0.0303944538947909,0.0900921141316558,0.179092980710595,0.337370858567866,1.88377488179194,0.0142595886364336,1.23886344255127,0.129890870253746,525.669630627061,2.4720166640284398e-116,3.37121272556879e-115,1.0,0.374097634231192,0.727750325077519,378.831467793031,358753.4,947,1.58957868898191,0.0787088300691937,1.30712613710585,0.94289219790948,0.202061690451784,0.868419413950124,0.430689019131682,0.5,0.5,0.916587704288584,54.1892795135577,55.98468501936805,54.189279513557636
P0018,"Hot pepper, 1 pc.",P0612,"Sour cream, 50 g",1664,2461,2147,0.0534069390506146,0.0789870655069487,0.0689090734024457,0.676147907354734,9.81217529084837,0.0479640135557525,2.87504990007099,0.702053825778267,15356.6488961505,0.0,0.0,1.0,0.374522250005325,0.727525509315056,241.119284855769,401222.49,1664,0.648219365731755,0.0880263512076785,1.28538985964402,0.798657624325503,0.643216239413285,0.512089572824142,0.345650217051134,0.5,0.5,0.916279488265469,54.1819154684259,55.97416495489416,54.181915468425906
P0076,"Grilled pork neck, 150 g",P0009,"Borsec sparkling mineral water, 750 ml",446,2088,3139,0.014314600250345,0.0670154379433193,0.100747825528774,0.21360153256705,2.12016022624771,0.0075629406006971,1.14350702819484,0.100486435639908,314.60854740439,2.16424850979683e-70,1.57413008279223e-69,1.0,0.486652387865051,0.672652200448875,516.916771300448,230544.88,446,2.53348855293167,0.050580476124387,1.36011173022145,0.9811132241227,0.108069265048276,0.962844015901053,0.462701363293119,0.5,0.5,0.841049740810963,54.0827902929586,55.83255756136941,54.082790292958585
P0612,"Sour cream, 50 g",P0082,"Tripe soup, 300/100 g",1455,2147,2454,0.0466989761530314,0.0689090734024457,0.078762396893154,0.67768979972054,8.60423027297998,0.0412715323641685,2.85823285241387,0.604882543588592,11399.8132516559,0.0,0.0,1.0,0.375773230528409,0.726863975697447,258.364254295533,375919.99,1455,0.76610082265907,0.0824751002012051,1.3111933454365,0.814690231481785,0.583407276939518,0.551697942848594,0.343869277787036,0.5,0.5,0.915372544470504,53.733215396208,55.33316485172571,53.733215396207996
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0009,"Borsec sparkling mineral water, 750 ml",817,5898,3139,0.0262220367814616,0.189299354880123,0.100747825528774,0.138521532722957,1.3749332255652,0.0071505384032895,1.04384753494023,0.0606422530259955,114.57933322191,9.72948481658598e-27,2.39073602137282e-26,1.0,0.419491345861886,0.704477701054824,430.323696450428,351574.46,817,1.94156417412706,0.0771338039689897,1.34217947869149,0.968177838945576,0.0915758351383045,0.930887296852797,0.467897763138914,0.5,0.5,0.884681597950061,53.6540338821009,55.22004840300132,53.654033882100926
P0009,"Borsec sparkling mineral water, 750 ml",P0076,"Grilled pork neck, 150 g",446,3139,2088,0.014314600250345,0.100747825528774,0.0670154379433193,0.142083466071997,2.12016022624771,0.0075629406006971,1.08750038629629,0.100486435639908,314.60854740439,2.16424850979683e-70,1.57413008279223e-69,1.0,0.486652387865051,0.672652200448875,516.916771300448,230544.88,446,2.53348855293167,0.050580476124387,1.36011173022145,0.9811132241227,0.0823836646594892,0.962844015901053,0.462701363293119,0.5,0.5,0.841049740810963,53.5690782851829,55.098683264546935,53.569078285182854
P0597,"Assorted pickled vegetables, 180 g",P0009,"Borsec sparkling mineral water, 750 ml",232,971,3139,0.0074461597714799,0.031164746284944,0.100747825528774,0.238928939237899,2.37155430386595,0.0043063793501158,1.18156138215367,0.0823373586235575,211.227031556375,7.415935195804019e-48,3.31589561418942e-47,1.0,0.430523663547516,0.699044710326656,569.458189655172,132114.3,232,2.89264598526676,0.0289852639401062,1.35328123970689,0.976186066726601,0.0950138701293144,0.950671530701917,0.444002309954644,0.5,0.5,0.877233122017991,53.5660854358974,55.094407765567745,53.56608543589742
P0071,Product P0071,P0599,Product P0599,469,1212,2260,0.0150527971242417,0.0388997657027313,0.0725358667394165,0.386963696369637,5.3347911007915,0.0122311689030339,1.51290246233086,0.243885042001638,1853.21567152916,0.0,0.0,0.961538461538462,0.385766673084294,0.693867503248848,408.957953091684,191801.28,469,1.79551433830327,0.042080310192388,1.31690772744842,0.949948123849097,0.246153474570685,0.885850997145374,0.351229806822836,0.5,0.5,0.870135318203518,53.3660387528131,54.80862678973297,53.366038752813076
P0071,Product P0071,P0613,Product P0613,466,1212,1844,0.0149565105754726,0.0388997657027313,0.0591841319767628,0.384488448844884,6.49647863376359,0.012654261708257,1.52851049871872,0.277347349374155,2396.64480204712,0.0,0.0,0.961538461538462,0.42676259474863,0.673930242548774,375.770793991416,175109.19,466,1.56865683764585,0.0384181431570102,1.33381156166459,0.962141662746931,0.265105200665423,0.915974993564992,0.313988437929809,0.5,0.5,0.842801900219577,53.3293916454003,54.75627377914321,53.32939164540024
P0082,"Tripe soup, 300/100 g",P0612,"Sour cream, 50 g",1455,2454,2147,0.0466989761530314,0.078762396893154,0.0689090734024457,0.592909535452323,8.60423027297998,0.0412715323641685,2.28718431818859,0.604882543588592,11399.8132516559,0.0,0.0,1.0,0.375773230528409,0.726863975697447,258.364254295533,375919.99,1455,0.76610082265907,0.0824751002012051,1.3111933454365,0.814690231481785,0.552958579210815,0.551697942848594,0.343869277787036,0.5,0.5,0.915372544470504,53.1242414416339,54.463202059477055,53.124241441633934
P0082,"Tripe soup, 300/100 g",P0018,"Hot pepper, 1 pc.",1490,2454,2461,0.0478223192220047,0.078762396893154,0.0789870655069487,0.607171964140179,7.6869796370238,0.0416011086191208,2.34457027100202,0.572596592754255,10215.3476957586,0.0,0.0,1.0,0.349048655663952,0.741263108488728,257.752644295302,384051.44,1490,0.761920039495009,0.0842591025723774,1.30821877193185,0.812842025047933,0.54293163626453,0.547131970290295,0.348431907264226,0.5,0.5,0.935113346434782,53.1210437407288,54.458633915326914,53.12104374072884
P0018,"Hot pepper, 1 pc.",P0082,"Tripe soup, 300/100 g",1490,2461,2454,0.0478223192220047,0.0789870655069487,0.078762396893154,0.605444941080861,7.6869796370238,0.0416011086191208,2.33487717945,0.572596592754255,10215.3476957586,0.0,0.0,1.0,0.349048655663952,0.741263108488728,257.752644295302,384051.44,1490,0.761920039495009,0.0842591025723774,1.30821877193185,0.812842025047933,0.542311378666166,0.547131970290295,0.348431907264226,0.5,0.5,0.935113346434782,53.1086385887616,54.44091226965937,53.10863858876156
P0011,Product P0011,P0076,"Grilled pork neck, 150 g",330,1889,2088,0.0105915203646051,0.0606284302082999,0.0670154379433193,0.174695606140815,2.60679645619223,0.0065284795623798,1.13047327628292,0.109403325221984,372.920861406877,4.3275162230292494e-83,3.8384717067682197e-82,0.923076923076923,0.487017570897461,0.620757239956363,566.98996969697,187106.69,330,2.87577397133212,0.0410503389459704,1.35253418135575,0.975647178037377,0.0912811374856384,0.94934021244552,0.47620902885344,0.5,0.5,0.76990322435915,53.0356398192835,54.33662831326209,53.03563981928346
P0072,"French fries, 180 g",P0567,"Fried Romanian cheese doughnuts, 180 g",947,5580,2807,0.0303944538947909,0.179092980710595,0.0900921141316558,0.169713261648746,1.88377488179194,0.0142595886364336,1.0958959644173,0.129890870253746,525.669630627061,2.4720166640284398e-116,3.37121272556879e-115,1.0,0.374097634231192,0.727750325077519,378.831467793031,358753.4,947,1.58957868898191,0.0787088300691937,1.30712613710585,0.94289219790948,0.141847729872932,0.868419413950124,0.430689019131682,0.5,0.5,0.916587704288584,52.9850003019806,54.26428614568657,52.9850003019806
P0070,"Caru' cu Flori potatoes, 180 g",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",1767,4003,5898,0.0567127772250217,0.128478351574285,0.189299354880123,0.441418935798151,2.33185652469702,0.0323919081559478,1.45135719249323,0.247102784041234,1902.43974869209,0.0,0.0,1.0,0.402108181943672,0.713211728508531,301.258109790606,532323.08,1767,1.05931039874158,0.116789211881002,1.35805879980644,0.843809375505842,0.351249249089562,0.623636450419912,0.475864324334235,0.5,0.5,0.896655701447364,52.9815574913478,54.2593678447826,52.98155749134782
P0076,"Grilled pork neck, 150 g",P0011,Product P0011,330,2088,1889,0.0105915203646051,0.0670154379433193,0.0606284302082999,0.158045977011494,2.60679645619223,0.0065284795623798,1.11570411702222,0.109403325221984,372.920861406877,4.3275162230292494e-83,3.8384717067682197e-82,0.923076923076923,0.487017570897461,0.620757239956363,566.98996969697,187106.69,330,2.87577397133212,0.0410503389459704,1.35253418135575,0.975647178037377,0.0853014495355059,0.94934021244552,0.47620902885344,0.5,0.5,0.76990322435915,52.9160460602808,54.165780086115454,52.91604606028081
P0076,"Grilled pork neck, 150 g",P0072,"French fries, 180 g",1205,2088,5580,0.0386750970889367,0.0670154379433193,0.179092980710595,0.577107279693487,3.22238916010931,0.0266731025540417,1.94117084516,0.278203512559676,2411.46438593768,0.0,0.0,1.0,0.292246372179348,0.773846242890603,341.391543568465,411376.81,1205,1.33365055699789,0.0902541618635447,1.33679260077725,0.830595943123709,0.371894703843171,0.590992818976629,0.433118818283477,0.5,0.5,0.979783897983022,52.7179658018958,53.88280828842251,52.71796580189575
